food_name,aliases,calories,protein_g,carbs_g,fat_g,fiber_g,iron_mg,calcium_mg,vitamin_c_mg,region
ragi_mudde,finger_millet_ball,328,7.3,72.0,1.5,3.6,3.9,344.0,0.0,North Karnataka
jolada_rotti,jowar_roti,362,10.4,72.9,3.0,2.0,2.6,28.0,0.0,North Karnataka
sajje_rotti,bajra_roti,348,11.8,67.5,5.0,1.2,8.0,42.0,0.0,Vijayapur
akki_rotti,rice_roti,175,3.2,38.0,0.8,0.5,0.8,12.0,0.0,South Karnataka
bisibelebath,bisi_bele_bath,180,6.2,32.0,3.5,2.1,1.8,42.0,3.0,South Karnataka
sambar,sambhar,45,2.8,6.2,1.2,1.8,1.1,38.0,12.0,All Karnataka
rasam,pepper_rasam,30,1.2,4.5,0.8,0.3,0.5,12.0,8.0,All Karnataka
idli,steamed_rice_cake,58,2.0,11.5,0.4,0.5,0.4,8.0,0.0,South Karnataka
dosa,rice_crepe,168,3.5,25.0,6.5,0.5,0.8,14.0,0.0,South Karnataka
uppittu,upma,150,4.2,25.0,4.5,1.2,1.2,18.0,0.0,All Karnataka
chitranna,lemon_rice,185,3.8,36.0,3.5,0.8,0.6,8.0,6.0,South Karnataka
chapati,roti_wheat,104,3.1,17.1,3.7,1.9,1.2,10.0,0.0,All Karnataka
dal,lentil_curry,116,9.0,20.0,0.4,3.7,3.7,28.0,1.0,All Karnataka
rajma,kidney_beans,127,8.7,22.8,0.5,6.4,2.9,28.0,1.5,North Karnataka
avalakki,poha_flattened_rice,180,3.5,39.0,2.5,0.5,1.2,8.0,0.0,All Karnataka
shenga_chutney,groundnut_chutney,180,8.5,6.0,14.0,2.5,1.0,30.0,0.0,North Karnataka
palya,stir_fry_vegetables,65,2.8,10.5,1.8,2.8,1.5,45.0,15.0,All Karnataka
huggi,pongal_rice_dal,160,5.8,28.0,3.2,1.5,1.8,32.0,0.0,All Karnataka
kadlekai,groundnut_boiled,310,13.0,22.0,22.0,4.5,1.5,45.0,0.0,All Karnataka
ambode,dal_vada,280,10.5,28.0,14.0,3.5,2.8,38.0,0.0,South Karnataka
